Date:  14:13, Friday, November 04, 2022
Model name: 3DhoneyAssem
Study name: StarHoneycomb(-Default-)
Plot type: Static displacement Displacement2
Result Type: UY 


Node  ,Value (mm)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
1944  ,-9.487e-04  ,-12.25800323  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1945  ,-1.567e-03  ,-9.89659786  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
1946  ,-7.133e-05  ,-12.25634861  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
2187  ,1.194e+00  ,91.55924988  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2188  ,9.673e-01  ,83.42533112  ,-0.00000000  ,-1.00000000  ,AirfoilBacking-1
2189  ,9.602e-01  ,83.38688660  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2198  ,8.509e-01  ,67.03842163  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
2241  ,-1.503e-01  ,21.78361320  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
2256  ,1.416e-01  ,203.01715088  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2271  ,1.802e-01  ,207.93959045  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2272  ,1.856e-01  ,207.93974304  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
2273  ,1.823e-01  ,210.23968506  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2361  ,1.835e-01  ,212.51115417  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2362  ,1.916e-01  ,212.51118469  ,100.00000000  ,-1.00000000  ,AirfoilBacking-1
2363  ,1.813e-01  ,214.78250122  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2367  ,1.636e-01  ,217.39123535  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
2368  ,1.764e-01  ,217.39128113  ,100.00000000  ,-0.50000000  ,AirfoilBacking-1
2665  ,1.617e-01  ,212.51100159  ,100.00000000  ,0.00000000  ,AirfoilBacking-1
2675  ,1.679e-01  ,172.41448975  ,-0.00000000  ,-0.50000000  ,AirfoilBacking-1
